N,P,K,pH,EC,OC,B,Zn,Fe,Mn,Cu,S,Crop
197,3,160,7.16,0.19,0.48,0.9,3.33,2.54,4.09,1.12,46,Jawar
147,41,256,7.47,0.21,0.58,0.93,0.61,5.47,6.66,1.12,40,Rice
210,47,160,7.8,0.36,0.71,1.28,0.22,1.81,10.04,1.12,36,Rice
154,65,422,7.71,0.61,0.32,0.86,2.12,3.59,14.02,1.12,33,Rice
109,103,144,8.48,0.25,0.58,0.8,0.47,5.61,1.07,1.12,25,Rice
154,39,490,7.89,0.44,0.39,1.57,0.67,0.21,25.88,1.12,21,Rice
194,69,208,6.89,0.12,0.77,0.74,0.25,4.44,3.69,1.12,13,Rice
210,219,120,7.41,0.1,0.9,0.58,0.95,3.79,7.5,1.12,10,Rice
63,65,137,8.12,0.14,0.9,0.452,7.6,3.482,0.45,1.12,1.238,Cotton
42,69,428,7.93,0.29,0.28,3.165,0.19,10.27,10.462,1.118,39,Cotton
75,55,363,7.91,0.17,0.15,3.15,0.484,6.944,4.808,1.118,26,Rice
44,92,276,7.88,0.11,0.45,1.712,0.118,10.55,5.162,1.118,23,Cotton
58,52,448,7.65,0.71,0.28,2.175,0.16,8.16,8.11,1.116,82,Cotton
75,49,412,8.23,0.34,0.32,3.164,0.29,7.162,6.15,1.116,78,Rice
100,4,469,7.53,0.36,0.53,1.52,1.26,11.49,8.048,1.116,15,Jawar
63,27,91,7.81,0.36,0.38,3.04,0.488,6.06,27.1,1.112,72,Cotton
88,66,81,8.38,0.15,0.57,2.8,0.158,10.09,31.48,1.11,154,Cotton
42,49,416,8.12,0.59,0.33,5.1148,0.195,7.156,5.116,1.11,72,Cotton
102,15,333,7.6,0.48,0.36,3.7,1.01,5.1,6.45,1.11,66,Jawar
125,15,549,7.53,0.32,0.17,4.94,0.658,10.9,31.48,1.11,60,Jawar
125,15,594,7.53,0.32,0.17,4.94,0.658,10.09,31.48,1.11,60,Jawar
241,22,347,8.11,0.18,0.34,0.68,1.66,6.55,21.66,1.11,52,Rice
168,29,428,8.07,0.14,0.41,0.59,5.58,0.46,1.81,1.11,52,Rice
143,62,394,7.28,0.35,0.33,2.08,3.58,2.54,19.77,1.11,48,Rice
102,33,211,7.5,0.46,0.14,1.36,1.53,0.91,3.8,1.11,46,Rice
265,15,582,7.45,0.18,0.69,3.51,0.62,3.72,7.22,1.11,21,Jawar
215,37,594,8.39,0.56,0.66,8.1,0.18,3.72,6.54,1.11,19,Rice
142,18,571,8.21,0.52,0.41,1.07,2.97,1.14,1.83,1.11,19,Jawar
172,27,408,8.46,0.13,0.43,0.63,0.2,2.94,26.02,1.11,18,Rice
181,18,367,7.73,0.045,0.29,0.86,1.2,4.55,6.54,1.11,17,Jawar
124,28,408,7.66,0.61,0.4,0.73,2.12,3.83,14.71,1.11,10,Rice
151,18,107,8.14,0.79,0.38,1.52,0.912,8.012,17.02,1.105,23,Jawar
25,150,78,8.54,0.43,0.38,0.16,4.804,16.18,7.616,1.104,148,Cotton
439,16,115,7.92,0.57,1.2,1.02,0.238,14.54,8.048,1.104,11,Jawar
100,23,224,7.46,0.23,0.83,6.84,1.308,4.122,25,1.1,72,Rice
191,33,476,7,0.08,0.46,1.14,0.47,9.76,13.5,1.1,29,Rice
191,33,476,8.31,0.47,0.38,1.14,0.47,9.76,13.5,1.1,29,Rice
50,8,560,7.46,0.28,0.33,4.56,1.392,7.806,21.24,1.1,26,Cotton
113,69,259,7.71,0.53,0.38,9.12,1.292,10.72,33.56,1.1,23,Rice
125,27,438,7.51,0.51,0.48,8.36,1.26,4.274,32.34,1.1,19,Rice
184,35,540,8.34,0.48,0.91,19.84,1.75,5.94,2.17,1.1,13,Rice
242,42,474,8.62,0.14,0.63,4.32,0.19,5.46,3.98,1.098,24,Rice
163,85,417,7.24,0.24,0.45,6.08,0.984,19.83,39.8,1.092,53,Rice
203,169,264,8.4,0.23,0.67,0.32,0.81,6.49,1.14,1.09,54,Rice
113,35,592,8.56,0.38,0.41,3.04,0.394,5.864,3.78,1.09,42,Rice
172,44,374,7,0.36,0.44,1.72,0.16,6.56,9.92,1.09,33,Rice
116,90,551,7.39,0.7,0.41,0.58,1.78,14.88,13.02,1.09,24,Rice
180,15,524,7.99,0.26,0.66,0.86,0.25,0.95,3.19,1.09,24,Jawar
175,109,176,8.87,1.13,0.64,1.02,0.88,8.71,1.47,1.09,21,Rice
189,59,630,8.03,0.16,0.72,2.43,0.19,1.19,1.1,1.09,21,Rice
214,74,612,8.3,0.15,0.65,2.43,0.19,1.19,1.1,1.09,21,Rice
238,7,325,7.93,0.72,0.57,5.7,1.448,8.052,3.694,1.088,51,Jawar
167,31,424,8.27,0.72,0.79,9.72,0.54,2.84,2.75,1.087,19,Rice
50,59,469,7.38,0.28,0.78,4.56,1.27,13.95,32.08,1.084,30,Cotton
63,46,424,7.13,0.29,0.42,5.32,0.352,4.122,11.99,1.082,102,Cotton
185,35,516,8.44,1.15,0.17,1.35,0.4,6.74,8.34,1.08,64,Rice
183,26,330,7.43,0.12,0.46,4.32,2.45,5.79,6.53,1.08,61,Rice
213,39,372,8.87,0.12,0.47,5.67,1.26,3.61,5.75,1.08,61,Rice
262,26,444,7.43,0.33,0.46,4.32,0.41,5.79,6.53,1.08,58,Rice
173,18,498,8.48,0.54,0.62,4.32,1.02,4.79,3.68,1.08,56,Jawar
278,50,642,7.34,0.36,0.59,3.78,0.28,5.89,3.35,1.08,56,Rice
244,44,450,7.39,0.28,0.87,3.24,0.41,6.82,7.85,1.08,48,Rice
170,28,438,8.89,0.65,0.66,5.13,0.49,2.85,6.78,1.08,45,Rice
253,46,384,8.09,0.56,0.62,2.61,0.44,4.37,2.04,1.08,44,Rice
179,31,456,8.32,0.31,0.26,7.29,0.79,2.33,6.83,1.08,42,Rice
203,15,465,8.13,0.55,0.65,4.32,0.45,4.35,5.56,1.08,42,Jawar
198,50,504,8.5,0.67,0.19,2.16,0.41,2.39,7.17,1.08,40,Rice
168,66,336,7,0.81,0.32,5.13,1.05,2.84,3.54,1.08,40,Rice
189,20,342,8.57,0.84,0.25,3.78,0.19,1.81,7.26,1.08,37,Rice
239,44,414,7,0.82,0.68,5.4,0.68,4.17,7.19,1.08,37,Rice
192,46,510,8.42,0.32,0.3,1.62,0.68,4.96,5.29,1.08,37,Rice
160,26,564,8.8,0.42,0.71,7.02,0.4,2.91,3.66,1.08,37,Rice
167,33,348,9.03,0.33,0.45,8.64,0.44,2.71,3.26,1.08,37,Rice
173,24,288,8.3,0.73,0.23,8.37,0.26,3.79,2.19,1.08,34,Rice
136,29,160,7.81,0.46,0.26,3.44,3.48,5.62,16.7,1.08,29,Rice
186,57,392,7.69,0.45,0.38,5.13,0.49,4.91,8.36,1.08,29,Rice
248,48,648,7.68,0.27,0.72,2.43,1.72,4.37,6.56,1.08,29,Rice
164,37,564,8.34,0.95,0.25,4.59,0.29,2.51,5.39,1.08,29,Rice
265,48,330,8.44,0.82,0.44,6.21,0.46,1.71,4.38,1.08,29,Rice
215,24,582,7.54,0.5,0.46,1.35,0.18,7.26,5.35,1.08,27,Rice
215,37,528,7.11,0.81,0.51,5.13,0.09,1.26,2.91,1.08,27,Rice
196,29,200,7.42,0.94,0.45,1.72,1.77,4.68,17.98,1.08,24,Rice
188,20,372,7.32,0.69,0.31,5.4,0.34,2.68,11.28,1.08,24,Rice
186,28,528,8.24,0.84,0.29,1.89,0.29,3.26,3.79,1.08,24,Rice
182,61,372,7.23,0.39,0.34,2.43,0.21,2.61,3.82,1.08,19,Rice
168,57,498,8.18,0.83,0.38,6.211,0.49,3.26,4.18,1.08,16,Rice
184,26,504,8.59,0.22,0.46,1.89,0.61,1.71,11.64,1.08,11,Rice
115,98,274,7.7,0.29,0.65,0.38,0.152,4.544,1.254,1.078,64,Rice
88,11,652,7.82,0.58,0.45,5.95,0.336,8.116,4.638,1.074,182,Jawar
212,18,342,8.09,0.22,0.56,2.43,0.33,11.24,2.17,1.074,50,Jawar
138,151,504,7.61,0.24,0.59,1.52,0.876,5.12,5.44,1.072,68,Rice
50,12,298,7.71,0.33,0.56,4.94,0.962,5.12,5.38,1.072,38,Cotton
145,91,449,8.22,0.19,0.46,0.72,0.438,4.184,23.7,1.072,32,Rice
122,89,320,7.36,0.12,0.61,1.21,0.19,0.922,24.56,1.072,29,Rice
105,91,326,7.6,0.16,0.42,0.74,0.402,0.82,23.24,1.072,19,Rice
88,12,312,7.8,0.23,0.33,3.42,0.29,2.282,15.79,1.072,19,Jawar
63,58,641,8.26,0.56,0.32,12.16,0.596,6.716,4.832,1.07,68,Cotton
217,50,414,8.65,0.21,0.75,4.32,1.06,3.23,3.44,1.07,61,Rice
167,37,402,7.49,0.33,0.17,3.78,0.44,5.32,7.53,1.07,58,Rice
186,13,504,8.14,0.24,0.85,2.26,0.26,2.87,16.34,1.07,56,Jawar
163,17,438,8.1,0.24,0.85,2.26,0.37,3.94,6.59,1.07,56,Jawar
163,17,438,8.1,0.35,0.21,2.26,0.37,3.94,6.59,1.07,56,Jawar
149,53,474,7.87,0.26,0.58,2.16,0.58,5.65,5.36,1.07,50,Rice
212,38,342,8.09,0.22,0.32,2.43,0.33,11.24,2.17,1.07,50,Rice
163,17,438,8.1,0.35,0.21,6.121,0.37,3.94,6.59,1.07,40,Jawar
163,17,504,8.1,0.35,0.85,2.26,0.37,3.94,6.59,1.07,40,Jawar
186,17,438,8.1,0.35,0.85,2.26,0.37,3.94,6.59,1.07,40,Jawar
163,17,504,8.1,0.35,0.21,2.26,0.37,3.94,6.59,1.07,40,Jawar
163,13,438,8.1,0.24,0.21,2.26,0.37,3.94,6.59,1.07,40,Jawar
163,17,438,8.14,0.35,0.21,2.26,0.26,3.94,6.59,1.07,40,Jawar
163,17,516,8.1,0.24,0.21,2.26,0.26,3.94,6.59,1.07,40,Jawar
163,17,438,8.1,0.24,0.21,2.26,0.26,3.94,6.59,1.07,40,Jawar
163,17,438,8.14,0.35,0.21,2.26,0.26,2.87,6.59,1.07,40,Jawar
114,18,367,7.39,0.24,0.4,0.46,2.01,6.48,0.03,1.07,38,Jawar
160,42,522,7.68,0.84,0.17,9.18,0.49,5.369,3.79,1.07,37,Rice
208,20,420,8.47,0.99,0.46,9.18,0.49,5.39,3.72,1.07,37,Rice
236,59,336,8.43,0.36,0.19,4.59,0.36,0.84,2.21,1.07,32,Rice
121,73,476,7.41,0.51,0.39,1.72,0.93,0.99,26.14,1.07,29,Rice
300,45,499,7.94,0.26,0.71,1.72,0.09,13.51,6.86,1.07,29,Rice
241,59,480,8.4,0.95,0.15,6.75,0.76,2.56,8.4,1.07,27,Rice
210,24,534,8.18,0.81,0.67,5.13,1.06,5.01,1.29,1.07,24,Rice
140,39,398,8.24,0.11,0.29,1.47,0.21,14.48,32.54,1.07,23,Rice
156,18,348,7.41,0.32,0.269,6.75,0.34,5.65,4.28,1.07,21,Jawar
175,37,498,7.36,0.22,0.32,2.7,0.65,5.17,2.89,1.07,19,Rice
182,31,444,7.66,0.31,0.28,1.58,0.58,2.97,9.48,1.07,16,Rice
180,15,432,7.11,0.21,0.32,1.08,4.29,7.68,4.38,1.07,11,Jawar
75,31,462,7.38,0.46,0.38,12.16,1.204,5.964,11.77,1.066,30,Rice
63,55,261,7.71,0.13,0.42,3.15,0.51,5.62,10.04,1.064,171,Cotton
151,4,121,7.36,0.39,0.41,9.88,0.586,6.55,14.08,1.064,111,Jawar
50,22,459,7.98,0.12,0.45,2.8,0.578,1.058,5.088,1.064,51,Cotton
113,4,468,7.47,0.23,0.38,3.42,1.702,10.33,2.652,1.062,38,Jawar
151,35,340,7.78,0.37,0.41,9.12,0.488,5.284,25.14,1.06,76,Rice
125,62,143,7.63,0.18,0.25,0.44,0.91,7.04,0.82,1.06,68,Rice
215,18,336,8.27,1.02,0.66,6.75,0.54,3.6,5.38,1.06,58,Jawar
193,37,426,8.75,0.61,0.19,2.7,0.29,3.86,2.17,1.06,56,Rice
274,24,522,8,0.94,0.71,2.43,0.79,4.89,6.564,1.06,53,Rice
207,12,420,7.64,0.39,0.72,5.67,0.46,4.58,7.26,1.06,50,Jawar
156,37,468,7.5,0.36,0.26,6.21,0.36,4.79,4.71,1.06,48,Rice
147,57,498,8.29,0.48,0.26,6.75,0.28,8.94,8.9,1.06,45,Rice
219,25,516,7.96,0.26,0.34,3.78,1.07,8.91,6.29,1.06,40,Rice
203,184,352,8.09,0.1,0.83,0.86,0.76,3.03,12.22,1.06,37,Rice
209,26,516,7.24,0.35,0.37,4.32,1.12,4.17,3.19,1.06,34,Rice
174,33,552,7.3,0.26,0.26,3.78,0.63,3.69,2.98,1.06,21,Rice
186,28,396,7.25,0.32,0.21,4.59,0.18,2.91,10.65,1.06,16,Rice
263,188,23,7.73,0.37,0.23,0.76,0.214,2.403,5.902,1.056,53,Cotton
188.2,234,108,7.63,0.17,0.28,2.3,1.584,8.05,4.752,1.052,270,Rice
151,57,382,7.63,0.5,0.3,0.72,0.93,4.038,5.622,1.05,60,Rice
244,20,606,7.38,0.29,0.69,6.21,0.72,5.09,6.174,1.05,50,Rice
218,57,444,8.39,0.99,0.85,4.59,0.88,2.4,4.29,1.05,50,Rice
214,28,348,7.33,0.19,0.4,1.89,0.39,5.26,83.39,1.05,32,Rice
152,33,456,7.54,0.14,0.34,0.72,1.34,3.05,6.04,1.05,29,Rice
254,15,612,7.98,0.99,0.54,7.56,0.59,3.65,7.54,1.05,21,Jawar
147,87,496,7.96,0.11,0.28,0.79,0.86,4.41,15.77,1.05,19,Rice
259,48,402,8.45,0.78,0.22,3.51,0.66,2.89,5.17,1.05,19,Cotton
176,23,634,7.59,0.42,0.33,3.8,1.248,9.726,20.48,1.05,8,Jawar
160,69,313,7.42,0.65,0.3,0.94,1.532,1.534,24.04,1.042,22,Cotton
154,6,120,8.78,0.19,0.34,0.99,1.98,5.9,9.13,1.04,99,Jawar
178,94,176,8.19,0.28,0.58,0.67,1.41,3.71,9.08,1.04,99,Cotton
103,69,472,6.57,0.24,0.34,0.61,0.2,1.96,9.08,1.04,82,Cotton
213,9,232,8.42,0.39,0.71,0.54,0.25,2.84,13.12,1.04,79,Jawar
109,122,200,7.91,0.08,0.52,1.31,0.74,5.74,6.57,1.04,78,Cotton
119,103,192,7.06,0.34,0.66,0.74,1.99,12.34,4.69,1.04,78,Cotton
109,3,236,8.71,0.26,0.74,0.99,0.66,0.94,11,1.04,70,Jawar
97,34,304,7.19,0.91,0.84,0.93,2.09,4.59,3.74,1.04,67,Cotton
185,25,449,8.06,0.33,0.41,0.58,2.03,0.83,1.53,1.04,62,Jawar
113,57,54,7.2,0.4,0.38,1.08,0.24,5.516,1.104,1.04,53,Cotton
279,203,328,8.78,0.36,0.22,0.9,0.572,0.928,0.954,1.04,40,Cotton
172,97,280,7.18,0.23,0.39,0.96,0.44,3.86,6.76,1.04,39,Cotton
172,51,612,8.09,0.29,0.29,0.82,1.96,0.09,14.78,1.04,38,Cotton
183,15,700,7.46,0.37,0.41,0.82,2.35,0.33,13.23,1.04,38,Jawar
100,77,333,8.13,0.42,0.36,1.9,0.526,9.622,8.718,1.04,34,Cotton
201,102,122,8.21,0.11,0.48,1.14,1.23,1.23,5.49,1.04,29,Cotton
125,38,288,8.16,0.76,0.71,0.8,0.25,3.57,3.39,1.04,26,Jawar
131,50,312,6.19,0.27,0.31,0.54,1.87,7.66,5.15,1.04,25,Cotton
145,50,312,7.41,0.36,0.3,2.53,0.41,1.91,19.91,1.04,24,Cotton
143,23,414,7.26,0.89,0.46,1.35,0.83,1.29,2.82,1.04,23,Jawar
169,42,612,7.42,1.11,0.36,1.08,0.35,3.75,8.69,1.04,21,Cotton
84,109,104,8.7,0.34,0.39,0.9,0.44,2.4,6.56,1.04,19,Cotton
63,52,142,8,0.14,0.21,2.7,0.32,1.403,0.104,1.04,18,Cotton
219,91,144,7.18,0.19,0.1,0.58,1.74,4.59,1.24,1.04,15,Cotton
197,18,370,7.74,0.45,0.48,0.81,0.34,4.08,9.54,1.04,11,Jawar
138,25,192,6.81,0.35,0.55,0.64,2.09,1.23,5.15,1.04,2,Jawar
18,66,90,8.18,0.49,0.26,0.67,1.728,10.19,6.138,1.038,80,Cotton
125,74,7.05,8.11,0.47,0.58,1.05,0.453,22.03,4.058,1.035,14,Cotton
100,35,508,7.38,0.39,0.33,3.42,1.27,9.802,34.6,1.034,60,Cotton
152,40,265,7.62,0.37,0.41,1.72,3.29,2.45,12.03,1.03,90,Cotton
100,63,296,7.97,0.12,0.56,0.86,0.36,9.52,8.61,1.03,66,Cotton
121,44,224,7.21,0.19,0.33,1.57,2.01,7.32,18.01,1.03,33,Cotton
196,54,456,7.11,0.61,0.42,1.92,1.95,1.22,17.41,1.03,33,Cotton
136,36,442,7.41,0.36,0.42,0.86,3.12,0.55,8.38,1.03,32,Jawar
136,47,632,8.16,0.21,0.69,0.71,1.93,1.32,21.8,1.03,29,Cotton
63,157,74,7.89,0.17,0.38,3.24,1.404,4.16,1.342,1.03,27,Cotton
126,48,300,7.72,0.76,0.31,1.72,1.45,4.61,19.58,1.03,21,Cotton
273,35,294,7.72,0.33,0.64,3.51,0.45,6.45,1.26,1.03,11,Jawar
43,49,310,7.97,0.07,0.26,1.52,1.61,1.34,5.39,1.03,4,Cotton
88,12,494,7.84,0.21,0.45,1.05,0.296,10.03,9.712,1.024,64,Cotton
50,92,369,7.39,0.22,0.62,12.16,0.126,23.06,6.658,1.024,26,Cotton
112,87,561,8.02,0.45,0.87,0.35,0.785,4.123,11.03,1.023,34,Cotton
45,52,123,7.78,0.85,0.78,1.05,0.789,11.02,10.95,1.023,25,Cotton
165,20,432,7.56,0.28,0.77,2.97,0.51,5.24,11.5,1.02,61,Jawar
256,13,492,7.089,0.31,0.19,2.7,0.22,3.41,14.92,1.02,56,Jawar
214,13,492,7.56,0.3,0.16,4.05,0.45,2.03,5.03,1.02,56,Jawar
65,32,44,7.3,0.63,0.52,0.98,22.6,2.3,6.32,1.02,55,Cotton
247,153,392,8.19,0.32,0.79,0.42,0.95,7.23,4.26,1.02,37,Cotton
186,13,492,8.01,0.2,0.36,0.94,0.24,2.62,8.29,1.02,34,Jawar
157,33,456,8.31,0.75,0.39,0.15,10.12,7.04,2.49,1.02,22,Jawar
125,23,504,7.38,0.76,0.57,6.08,1.238,12.49,35.26,1.018,79,Jawar
118,41,265,7.71,0.23,0.82,0.36,1.386,9.562,0.834,1.018,68,Cotton
113,35,68,7.69,0.19,0.59,2.16,1.556,0.994,0.788,1.014,53,Jawar
261,73,435,7.12,0.28,0.32,0.58,1.27,3.59,19.2,1.01,62,Cotton
138,241,248,7.9,0.21,0.64,0.51,0.33,2.43,5.12,1.01,53,Cotton
186,27,450,8.89,0.2,0.24,4.05,0.3,2.69,4.25,1.01,45,Jawar
173,42,456,8.56,0.87,0.47,2.16,0.47,3.65,17.02,1.01,37,Cotton
173,42,456,8.86,0.27,0.49,2.16,0.47,3.6,17.01,1.01,37,Cotton
209,28,618,8.52,0.15,0.56,7.56,1.07,1.16,5.39,1.01,29,Jawar
245,9,564,8.51,0.31,0.58,3.24,0.5,1.7,5.28,1.01,18,Jawar
100,69,497,7.45,0.39,0.56,7.22,0.558,26.46,66.08,1.004,79,Cotton
144,76,422,8.02,0.11,0.44,1.14,3.014,4.012,6.718,1.004,62,Cotton
197,35,438,7.75,0.71,0.31,2.16,0.46,3.86,9.38,1,61,Jawar
192,31,552,7.71,0.18,0.56,5.4,0.26,5.19,5.66,1,61,Jawar
126,69,394,7.62,0.21,0.36,0.72,2.16,3.36,23.98,1,29,Cotton
137,29,260,7.62,0.44,0.44,1.43,1.7,1.92,11.37,1,29,Jawar
198,21,400,7.19,0.34,0.39,2,1.92,19.08,14.05,1,26,Jawar
132,7,700,8.05,0.18,0.42,1.63,1.06,0.32,9.18,1,24,Jawar
198,48,570,7.95,0.86,0.78,4.59,1.71,1.39,1.3,1,24,Cotton
145,45,300,7.39,0.46,0.43,1.43,0.77,0.21,25.48,1,21,Cotton
176,74,88,7.19,0.12,0.3,1.35,2.854,10.39,3.004,0.996,36,Cotton
100,23,536,7.7,0.27,0.17,4.94,0.284,3.294,16.14,0.992,98,Cotton
151,4,483,7.97,0.33,0.6,9.5,1.128,13.11,21.1,0.99,83,Jawar
112,16,427,8.45,0.24,0.16,6.96,0.536,3.042,3.018,0.99,38,Jawar
98,69,360,8.11,0.28,0.46,0.9,3.38,5.76,3.3,0.99,33,Cotton
250,47,249,7.6,0.53,0.69,0.79,3.6,4.51,16.17,0.99,29,Cotton
144,35,429,7.42,0.61,0.26,2,1.3,4.38,19.6,0.99,21,Jawar
462,42,292,7.64,0.16,0.72,0.72,2.47,5.22,13.07,0.99,18,Cotton
213,50,408,7.4,0.53,0.24,2.97,0.52,4.71,9.71,0.983,53,Cotton
43.9,34,96,8.03,0.4,0.18,0.86,0.642,10.5,4.01,0.982,131,Cotton
168,18,486,6.6,0.12,0.85,5.67,0.58,8.19,2.59,0.98,61,Jawar
189,42,606,8.42,0.31,0.3,1.08,0.54,6.58,4.28,0.98,50,Cotton
163,24,642,7.96,0.93,0.37,7.02,0.35,4.21,8.92,0.98,45,Jawar
168,53,474,6.53,0.29,0.58,4.86,0.29,5.16,2.5,0.98,40,Cotton
145,80,524,7.49,0.27,0.4,0.86,2.51,4.31,2.68,0.98,38,Cotton
171,31,504,7.72,0.63,0.42,0.63,0.2,2.88,7.32,0.98,35,Jawar
126,21,242,7.7,0.82,0.55,1.73,1.09,5.95,32.54,0.98,30,Jawar
148,24,300,8.14,0.1,0.58,5.13,0.65,3.16,6.98,0.98,28,Jawar
163,26,414,8.23,0.43,0.3,8.1,0.77,3.62,7.81,0.98,27,Jawar
201,26,402,7.32,0.21,0.48,1.25,0.85,0.84,0.47,0.98,24,Jawar
182,40,378,8.53,0.93,0.21,1.58,0.26,0.83,12.29,0.98,21,Cotton
251,10,351,6.85,0.62,0.91,1.36,1.326,5.216,6.414,0.98,4,Jawar
213,14,717,8.27,0.72,0.27,4.272,0.384,7.83,21.96,0.976,45,Jawar
202,29,532,7.14,0.27,0.26,2,1.606,2.214,5.644,0.976,29,Jawar
102,25,126,7.65,0.65,0.7,2.87,6.564,7.752,6.388,0.976,24,Jawar
63,11,384,7.86,0.26,0.35,2.45,0.562,18.28,10.37,0.972,154,Cotton
75,7,99,7.94,0.26,0.41,5.25,0.548,3.664,9.296,0.972,60,Cotton
100,23,501,7.84,0.77,0.27,4.56,0.89,2.296,8.228,0.972,49,Cotton
194,67,282,7.61,0.36,0.3,0.94,0.63,3.41,6.83,0.97,42,Cotton
191,164,35,8,0.04,1.5,0.72,0.43,24.18,2.69,0.97,35,Cotton
289,26,608,8.92,0.31,0.76,3.52,0.71,4.6,7.96,0.97,28,Jawar
149,18,272,7.11,0.91,0.44,0.73,1.3,2.94,6.9,0.97,22,Jawar
126,20,400,7.36,0.36,0.36,1.86,0.44,0.57,27.42,0.97,21,Jawar
163,18,603,8.16,0.41,0.33,8.74,0.524,5.644,11.95,0.97,20,Jawar
175,11,660,7.63,0.1,0.31,0.69,5.95,0.37,1.71,0.97,19,Jawar
175,40,449,7.94,0.1,0.46,0.82,0.01,3.31,7.61,0.97,14,Cotton
238,46,511,7.43,0.45,0.41,10.64,1.26,13.26,19.36,0.968,19,Cotton
267,22,490,7.66,0.03,0.56,2.58,0.81,2.71,21.84,0.966,52,Jawar
88,126,74,7.36,0.12,0.27,1.35,1.384,9.512,0.962,0.962,91,Cotton
62,27,364,7.66,0.17,0.72,3.04,0.534,13.29,2.768,0.962,76,Cotton
50,144,61,7.13,0.09,0.38,1.35,13.84,9.514,1.004,0.962,49,Cotton
113,90,108,7.49,0.09,0.53,2.16,2.312,4.186,4.834,0.962,47,Cotton
38,52,108,7.37,0.24,0.3,1.35,1.102,7.546,4.302,0.962,44,Cotton
188,17,207.4,8.98,0.21,3.6,0.88,1.846,4.672,3.01,0.962,36,Jawar
50,155,115,8,0.09,0.31,0.89,5.56,8.748,0.896,0.962,34,Cotton
75,146,95,7.39,0.42,0.41,1.62,1.384,9.514,1.004,0.962,26,Cotton
88,84,88,7.35,0.32,0.53,2.16,1.318,2.086,1.406,0.962,25,Cotton
125,31,64,7.55,0.24,0.13,2.66,0.12,14.37,6.47,0.96,113,Jawar
43,4,504,7.46,0.39,0.46,12.11,0.123,9.562,5.738,0.96,107,Cotton
163,31,489,8.38,0.28,0.59,6.08,1.102,2.904,7.24,0.96,68,Jawar
160,23,251,7.6,0.39,0.74,0.69,2.03,5.26,1.2,0.96,68,Jawar
208,20,498,8.15,0.41,0.21,6.48,1.96,5.46,8.63,0.96,61,Jawar
192,53,528,8.24,0.29,0.29,1.62,0.68,6.85,5.22,0.96,57,Cotton
205,59,85,5.6,0.15,0.32,2.8,0.34,5.56,17.4,0.96,52,Cotton
240,42,318,8.3,0.25,0.51,4.32,0.56,2.45,7.6,0.96,45,Cotton
43,84,170,7.36,0.19,0.4,0.1,5.89,3.87,3.87,0.96,43,Cotton
248,53,528,7.42,0.32,0.62,0.62,0.68,3.78,5.22,0.96,40,Cotton
189,26,489,8.41,0.81,0.39,5.68,0.26,7.09,1.56,0.96,35,Jawar
14,108,402,7.69,0.561,0.47,1.58,0.63,3.43,7.43,0.96,33,Cotton
182,50,588,8.77,0.87,0.54,1.89,0.35,4.71,13.08,0.96,32,Cotton
162,20,408,8.19,0.59,0.25,6.58,0.61,3.92,11.42,0.96,29,Jawar
253,28,528,7.41,0.14,0.64,2.43,0.21,6.85,6.54,0.96,27,Jawar
192,64,510,7.43,0.56,0.62,1.62,0.34,3.78,6.73,0.96,24,Cotton
210,16,302,7.6,0.54,0.32,0.84,2.31,6.23,2.47,0.96,19,Jawar
234,20,450,8.27,0.53,0.24,2.97,0.38,9.78,4.56,0.96,13,Jawar
147,20,606,7.49,1.34,0.25,2.16,0.98,6.15,7.34,0.96,11,Jawar
118,26,176,7.83,0.21,0.8,0.26,1.646,18.99,0.566,0.958,50,Jawar
176,31,382,7.92,0.39,0.83,9.12,1.128,9.418,32.58,0.952,30,Jawar
115,42,150,5.8,0.14,0.44,0.66,0.41,17.6,9.2,0.95,84,Cotton
132,40,462,7.35,0.21,0.69,0.71,1.13,0.15,7.11,0.95,62,Cotton
194,42,582,8.52,0.94,0.61,3.84,0.26,5.38,11.26,0.95,61,Cotton
187,13,456,8.48,0.83,0.43,6.21,0.55,2.56,3.68,0.95,61,Jawar
278,64,510,7.78,0.18,0.48,0.81,0.76,8.26,7.54,0.95,48,Cotton
239,35,450,8.3,0.24,0.69,2.16,0.61,8.63,7.32,0.95,48,Jawar
238,24,540,7.69,0.19,0.32,1.62,0.39,8.36,7.18,0.95,42,Jawar
176,40,517,7.35,0.43,0.31,0.31,0.87,1.64,17.05,0.95,38,Cotton
205,33,419,7.53,0.39,0.29,0.59,1.83,4.42,14.06,0.95,32,Jawar
145,18,588,7.36,0.28,0.41,0.58,1.23,1.2,12.85,0.95,29,Jawar
165,63,444,6.64,0.26,0.41,0.63,0.25,2.94,5.65,0.95,28,Cotton
171,40,420,7.62,0.21,0.44,1.43,0.6,12.91,31.68,0.95,26,Cotton
124,33,313,7.58,0.71,0.71,0.69,2.53,3.03,4.47,0.95,19,Jawar
185,40,367,7.36,0.16,0.31,0.64,1.68,2.61,22.64,0.95,14,Cotton
178,3,184,9.1,0.63,0.4,0.9,0.25,4.44,1.52,0.95,9,Jawar
80,22,240,8.22,0.12,0.39,1.19,2.84,4.21,14.69,0.95,8,Cotton
50,30,99,7.4,0.44,0.38,3.15,0.578,7.294,9.132,0.948,108,Cotton
88,33,54,7.63,0.15,0.32,2.45,0.562,0.548,5.418,0.948,77,Cotton
38,148,74,7.62,0.37,0.27,0.45,1.214,7.218,2.172,0.946,52,Cotton
